objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,01_zaturnnah_first5pages.pdf,,,Ang Kagila-gilalas na Pakikipagsapalaran ni Zsazsa Zaturnnah (PDF version) chapter 1,,2002,Preview of Zaturnnah comic chapter 1,comics; lgbt,,,,Purchased ebook from author's Gumroad page,,,application/pdf,,Copyrighted,
coll002,02_zaturnnah_first5pages.pdf,,,Ang Kagila-gilalas na Pakikipagsapalaran ni Zsazsa Zaturnnah (PDF version) chapter 2,,2002,Preview of Zaturnnah comic chapter 2,comics; lgbt,,,,Purchased ebook from author's Gumroad page,,,application/pdf,,Copyrighted,
coll003,03_zaturnnah_first5pages.pdf,,,Ang Kagila-gilalas na Pakikipagsapalaran ni Zsazsa Zaturnnah (PDF version) chapter 3,,2002,Preview of Zaturnnah comic chapter 3,comics; lgbt,,,,Purchased ebook from author's Gumroad page,,,application/pdf,,Copyrighted,
coll004,04_zaturnnah_first5pages.pdf,,,Ang Kagila-gilalas na Pakikipagsapalaran ni Zsazsa Zaturnnah (PDF version) chapter 4,,2002,Preview of Zaturnnah comic chapter 4,comics; lgbt,,,,Purchased ebook from author's Gumroad page,,,application/pdf,,Copyrighted,
coll005,05_zaturnnah_first5pages.pdf,,,Ang Kagila-gilalas na Pakikipagsapalaran ni Zsazsa Zaturnnah (PDF version) chapter 5,,2002,Preview of Zaturnnah comic chapter 5,comics; lgbt,,,,Purchased ebook from author's Gumroad page,,,application/pdf,,Copyrighted,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
